EXIOBASE3_Code,ISO2,Population_2022,Source,Type
AT,AT,9041851.0,World Bank (2022),Individual Country
BE,BE,11680210.0,World Bank (2022),Individual Country
BG,BG,6643324.0,World Bank (2022),Individual Country
CY,CY,1331370.0,World Bank (2022),Individual Country
CZ,CZ,10672118.0,World Bank (2022),Individual Country
DE,DE,83797985.0,World Bank (2022),Individual Country
DK,DK,5903037.0,World Bank (2022),Individual Country
EE,EE,1348840.0,World Bank (2022),Individual Country
ES,ES,47759127.0,World Bank (2022),Individual Country
FI,FI,5556106.0,World Bank (2022),Individual Country
FR,FR,68065015.0,World Bank (2022),Individual Country
GR,GR,10436882.0,World Bank (2022),Individual Country
HR,HR,3855641.0,World Bank (2022),Individual Country
HU,HU,9644377.0,World Bank (2022),Individual Country
IE,IE,5165700.0,World Bank (2022),Individual Country
IT,IT,59013667.0,World Bank (2022),Individual Country
LT,LT,2831639.0,World Bank (2022),Individual Country
LU,LU,653103.0,World Bank (2022),Individual Country
LV,LV,1879383.0,World Bank (2022),Individual Country
MT,MT,531511.0,World Bank (2022),Individual Country
NL,NL,17700982.0,World Bank (2022),Individual Country
PL,PL,36821749.0,World Bank (2022),Individual Country
PT,PT,10434332.0,World Bank (2022),Individual Country
RO,RO,19048502.0,World Bank (2022),Individual Country
SE,SE,10486941.0,World Bank (2022),Individual Country
SI,SI,2112076.0,World Bank (2022),Individual Country
SK,SK,5431752.0,World Bank (2022),Individual Country
GB,GB,67791000.0,World Bank (2022),Individual Country
US,US,333271411.0,World Bank (2022),Individual Country
JP,JP,125124989.0,World Bank (2022),Individual Country
CN,CN,1412175000.0,World Bank (2022),Individual Country
CA,CA,38939056.0,World Bank (2022),Individual Country
KR,KR,51672569.0,World Bank (2022),Individual Country
BR,BR,210306415.0,World Bank (2022),Individual Country
IN,IN,1425423212.0,World Bank (2022),Individual Country
MX,MX,128613117.0,World Bank (2022),Individual Country
RU,RU,144236933.0,World Bank (2022),Individual Country
AU,AU,26014399.0,World Bank (2022),Individual Country
CH,CH,8777088.0,World Bank (2022),Individual Country
TR,TR,84979913.0,World Bank (2022),Individual Country
TW,TW,23894394.0,Taiwan National Statistics (2022),Individual Country
NO,NO,5457127.0,World Bank (2022),Individual Country
ID,ID,278830529.0,World Bank (2022),Individual Country
ZA,ZA,62378410.0,World Bank (2022),Individual Country
WA,AF,40578842.0,World Bank (2022),Part of WA
WA,AS,48342.0,World Bank (2022),Part of WA
WA,AQ,0.0,Antarctica - No permanent population,Part of WA
WA,AM,2969200.0,World Bank (2022),Part of WA
WA,AZ,10141756.0,World Bank (2022),Part of WA
WA,BD,169384897.0,World Bank (2022),Part of WA
WA,BT,780914.0,World Bank (2022),Part of WA
WA,BV,0.0,Bouvet Island - Uninhabited,Part of WA
WA,IO,0.0,British Indian Ocean Territory - No permanent population,Part of WA
WA,BN,455370.0,World Bank (2022),Part of WA
WA,KH,17201724.0,World Bank (2022),Part of WA
WA,CK,17565.0,Cook Islands Statistics Office (2022),Part of WA
WA,FJ,919422.0,World Bank (2022),Part of WA
WA,PF,280378.0,World Bank (2022),Part of WA
WA,GE,3712502.0,World Bank (2022),Part of WA
WA,GU,165180.0,World Bank (2022),Part of WA
WA,HM,0.0,Heard and McDonald Islands - Uninhabited,Part of WA
WA,HK,7346100.0,World Bank (2022),Part of WA
WA,KZ,20034609.0,World Bank (2022),Part of WA
WA,KI,130469.0,World Bank (2022),Part of WA
WA,KP,26328845.0,World Bank (2022),Part of WA
WA,KG,6975219.5,World Bank (2022),Part of WA
WA,LA,7559007.0,World Bank (2022),Part of WA
WA,MO,677300.0,World Bank (2022),Part of WA
WA,MY,34695493.0,World Bank (2022),Part of WA
WA,MV,524106.0,World Bank (2022),Part of WA
WA,MH,40077.0,World Bank (2022),Part of WA
WA,FM,112114.0,World Bank (2022),Part of WA
WA,MN,3433748.0,World Bank (2022),Part of WA
WA,MM,53756787.0,World Bank (2022),Part of WA
WA,NR,11801.0,World Bank (2022),Part of WA
WA,NP,29715436.0,World Bank (2022),Part of WA
WA,NC,287123.0,World Bank (2022),Part of WA
WA,NZ,5117200.0,World Bank (2022),Part of WA
WA,NU,1700.0,Niue Statistics Office (2022),Part of WA
WA,MP,46078.0,World Bank (2022),Part of WA
WA,PK,243700667.0,World Bank (2022),Part of WA
WA,PW,17759.0,World Bank (2022),Part of WA
WA,PG,10203169.0,World Bank (2022),Part of WA
WA,PH,113964338.0,World Bank (2022),Part of WA
WA,PN,47.0,Pitcairn Islands Government (2022),Part of WA
WA,WS,215261.0,World Bank (2022),Part of WA
WA,SG,5637022.0,World Bank (2022),Part of WA
WA,SB,781066.0,World Bank (2022),Part of WA
WA,GS,0.0,South Georgia - No permanent population,Part of WA
WA,LK,22181000.0,World Bank (2022),Part of WA
WA,TJ,10182222.0,World Bank (2022),Part of WA
WA,TH,71735329.0,World Bank (2022),Part of WA
WA,TP,1369295.0,World Bank (2022),Part of WA
WA,TO,105042.0,World Bank (2022),Part of WA
WA,TM,7230193.0,World Bank (2022),Part of WA
WA,TV,9992.0,World Bank (2022),Part of WA
WA,UM,0.0,US Minor Outlying Islands - No permanent population,Part of WA
WA,UZ,34938955.0,World Bank (2022),Part of WA
WA,VU,313046.0,World Bank (2022),Part of WA
WA,VN,99680655.0,World Bank (2022),Part of WA
WA,WF,11558.0,Wallis and Futuna INSEE (2018 Census),Part of WA
WA,WA,1065725920.5,Sum of constituent countries,ROW Total
WL,AI,15857.0,Anguilla Statistics Department (2022),Part of WL
WL,AG,92840.0,World Bank (2022),Part of WL
WL,AR,45407904.0,World Bank (2022),Part of WL
WL,AW,107310.0,World Bank (2022),Part of WL
WL,BS,397538.0,World Bank (2022),Part of WL
WL,BB,282318.0,World Bank (2022),Part of WL
WL,BZ,402733.0,World Bank (2022),Part of WL
WL,BM,64749.0,World Bank (2022),Part of WL
WL,BO,12077154.0,World Bank (2022),Part of WL
WL,KY,71591.0,World Bank (2022),Part of WL
WL,CL,19553036.0,World Bank (2022),Part of WL
WL,CO,51737944.0,World Bank (2022),Part of WL
WL,CR,5081765.0,World Bank (2022),Part of WL
WL,CU,11059820.0,World Bank (2022),Part of WL
WL,DM,66826.0,World Bank (2022),Part of WL
WL,DO,11230734.0,World Bank (2022),Part of WL
WL,EC,17823897.0,World Bank (2022),Part of WL
WL,SV,6280319.0,World Bank (2022),Part of WL
WL,FK,3662.0,Falkland Islands Government Census (2021),Part of WL
WL,GL,56661.0,World Bank (2022),Part of WL
WL,GD,116913.0,World Bank (2022),Part of WL
WL,GP,395700.0,Guadeloupe INSEE (2022),Part of WL
WL,GT,17847877.0,World Bank (2022),Part of WL
WL,GY,821637.0,World Bank (2022),Part of WL
WL,HT,11503606.0,World Bank (2022),Part of WL
WL,HN,10463872.0,World Bank (2022),Part of WL
WL,JM,2839144.0,World Bank (2022),Part of WL
WL,MQ,361225.0,Martinique INSEE (2022),Part of WL
WL,NI,6730654.0,World Bank (2022),Part of WL
WL,PA,4400773.0,World Bank (2022),Part of WL
WL,PY,6760464.0,World Bank (2022),Part of WL
WL,PE,33475438.0,World Bank (2022),Part of WL
WL,PR,3220113.0,World Bank (2022),Part of WL
WL,KN,46709.0,World Bank (2022),Part of WL
WL,LC,178781.0,World Bank (2022),Part of WL
WL,PM,6008.0,St Pierre and Miquelon INSEE (2022),Part of WL
WL,VC,102046.0,World Bank (2022),Part of WL
WL,SR,623164.0,World Bank (2022),Part of WL
WL,TT,1365805.0,World Bank (2022),Part of WL
WL,TC,45847.0,World Bank (2022),Part of WL
WL,UY,3390913.0,World Bank (2022),Part of WL
WL,VE,28213017.0,World Bank (2022),Part of WL
WL,VG,38319.0,World Bank (2022),Part of WL
WL,VI,105413.0,World Bank (2022),Part of WL
WL,GF,294436.0,French Guiana INSEE (2022),Part of WL
WL,WL,315162532.0,Sum of constituent countries,ROW Total
WE,AL,2777689.0,World Bank (2022),Part of WE
WE,AD,79705.0,World Bank (2022),Part of WE
WE,BY,9228071.0,World Bank (2022),Part of WE
WE,BA,3204802.0,World Bank (2022),Part of WE
WE,Channel Islands,166293.0,Jersey + Guernsey Statistics (2022),Part of WE
WE,FO,53952.0,World Bank (2022),Part of WE
WE,GI,37609.0,World Bank (2022),Part of WE
WE,IS,382003.0,World Bank (2022),Part of WE
WE,IM,84069.0,Isle of Man Government (2022),Part of WE
WE,Kosovo,1768096.0,World Bank (2022),Part of WE
WE,LI,39493.0,World Bank (2022),Part of WE
WE,MK,1831712.0,World Bank (2022),Part of WE
WE,MD,2528654.0,World Bank (2022),Part of WE
WE,MC,38931.0,World Bank (2022),Part of WE
WE,ME,617213.0,World Bank (2022),Part of WE
WE,SM,33755.0,World Bank (2022),Part of WE
WE,RS,6664449.0,World Bank (2022),Part of WE
WE,UA,41048766.0,World Bank (2022),Part of WE
WE,VA,825.0,Vatican City State Statistics (2022),Part of WE
WE,WE,70586087.0,Sum of constituent countries,ROW Total
WF,DZ,45477389.0,World Bank (2022),Part of WF
WF,AO,35635029.0,World Bank (2022),Part of WF
WF,BJ,13759501.0,World Bank (2022),Part of WF
WF,BW,2439892.0,World Bank (2022),Part of WF
WF,BF,22509038.0,World Bank (2022),Part of WF
WF,BI,13321097.0,World Bank (2022),Part of WF
WF,CM,27632771.0,World Bank (2022),Part of WF
WF,CV,519741.0,World Bank (2022),Part of WF
WF,CF,5098039.0,World Bank (2022),Part of WF
WF,TD,18455316.0,World Bank (2022),Part of WF
WF,KM,834188.0,World Bank (2022),Part of WF
WF,CD,102396968.0,World Bank (2022),Part of WF
WF,CG,6035104.0,World Bank (2022),Part of WF
WF,CI,30395002.0,World Bank (2022),Part of WF
WF,DJ,1137096.0,World Bank (2022),Part of WF
WF,GQ,1803545.0,World Bank (2022),Part of WF
WF,ER,3409447.0,World Bank (2022),Part of WF
WF,ET,125384287.0,World Bank (2022),Part of WF
WF,GA,2430747.0,World Bank (2022),Part of WF
WF,GM,2636470.0,World Bank (2022),Part of WF
WF,GH,33149152.0,World Bank (2022),Part of WF
WF,GN,14055137.0,World Bank (2022),Part of WF
WF,GW,2105529.0,World Bank (2022),Part of WF
WF,KE,54252461.0,World Bank (2022),Part of WF
WF,LS,2286110.0,World Bank (2022),Part of WF
WF,LR,5373294.0,World Bank (2022),Part of WF
WF,LY,7223805.0,World Bank (2022),Part of WF
WF,MG,30437261.0,World Bank (2022),Part of WF
WF,MW,20568728.0,World Bank (2022),Part of WF
WF,ML,23072640.0,World Bank (2022),Part of WF
WF,MR,4875637.0,World Bank (2022),Part of WF
WF,MU,1262523.0,World Bank (2022),Part of WF
WF,YT,310022.0,Mayotte INSEE (2022),Part of WF
WF,MA,37329064.0,World Bank (2022),Part of WF
WF,MZ,32656246.0,World Bank (2022),Part of WF
WF,NA,2889662.0,World Bank (2022),Part of WF
WF,NE,25311973.0,World Bank (2022),Part of WF
WF,NG,223150896.0,World Bank (2022),Part of WF
WF,RE,873102.0,Réunion INSEE (2022),Part of WF
WF,RW,13651030.0,World Bank (2022),Part of WF
WF,ST,226305.0,World Bank (2022),Part of WF
WF,SN,17651103.0,World Bank (2022),Part of WF
WF,SC,119878.0,World Bank (2022),Part of WF
WF,SL,8276807.0,World Bank (2022),Part of WF
WF,SO,17801897.0,World Bank (2022),Part of WF
WF,SH,4439.0,St Helena Government (2021 Census),Part of WF
WF,SD,49383346.0,World Bank (2022),Part of WF
WF,SZ,1218917.0,World Bank (2022),Part of WF
WF,TZ,64711821.0,World Bank (2022),Part of WF
WF,TG,9089738.0,World Bank (2022),Part of WF
WF,TN,12119334.0,World Bank (2022),Part of WF
WF,UG,47312719.0,World Bank (2022),Part of WF
WF,EH,563202.0,Westsahara Bevölkerung (2025),Part of WF
WF,ZM,20152938.0,World Bank (2022),Part of WF
WF,ZW,16069056.0,World Bank (2022),Part of WF
WF,WF,1260846439.0,Sum of constituent countries,ROW Total
WM,BH,1524693.0,World Bank (2022),Part of WM
WM,IR,89524246.0,World Bank (2022),Part of WM
WM,IQ,44070551.0,World Bank (2022),Part of WM
WM,IL,9557500.0,World Bank (2022),Part of WM
WM,JO,11256263.0,World Bank (2022),Part of WM
WM,KW,4589643.0,World Bank (2022),Part of WM
WM,LB,5744489.0,World Bank (2022),Part of WM
WM,OM,4730226.0,World Bank (2022),Part of WM
WM,PS,5043612.0,World Bank (2022),Part of WM
WM,QA,2657333.0,World Bank (2022),Part of WM
WM,SA,32175224.0,World Bank (2022),Part of WM
WM,SY,22462173.0,World Bank (2022),Part of WM
WM,AE,10074977.0,World Bank (2022),Part of WM
WM,YE,38222876.0,World Bank (2022),Part of WM
WM,EG,112618250.0,World Bank (2022),Part of WM
WM,WM,394252056.0,Sum of constituent countries,ROW Total
